지역,아파트,면적,층,가격
강원특별자치도 강릉시 견소동,송정한신,59.8,5,20500
강원특별자치도 강릉시 견소동,송정한신,39.08,11,15500
강원특별자치도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,6,28500
강원특별자치도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,4,27000
강원특별자치도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,11,29000
강원특별자치도 강릉시 교동,강릉교동롯데캐슬2단지,118.0686,1,43000
강원특별자치도 강릉시 교동,강릉교동롯데캐슬2단지,84.9855,9,35000
강원특별자치도 강릉시 교동,강릉교동롯데캐슬2단지,84.9855,9,41000
강원특별자치도 강릉시 교동,교동1주공,59.89,15,22000
강원특별자치도 강릉시 교동,교동1주공,59.89,14,20000
강원특별자치도 강릉시 교동,교동1주공,59.89,2,21000
강원특별자치도 강릉시 교동,교동3주공,59.86,7,26000
강원특별자치도 강릉시 교동,교동3주공,59.84,1,24000
강원특별자치도 강릉시 교동,교동대림,59.84,14,17200
강원특별자치도 강릉시 교동,교동이-편한세상,84.7155,13,35000
강원특별자치도 강릉시 교동,덕진,40.86,5,6000
강원특별자치도 강릉시 교동,부영5,84.93,12,31000
강원특별자치도 강릉시 교동,부영6,59.987,13,25800
강원특별자치도 강릉시 내곡동,관동2,49.94,5,7500
강원특별자치도 강릉시 내곡동,내곡주공,39.3,1,9000
강원특별자치도 강릉시 내곡동,내곡한라,84.95,1,21000
강원특별자치도 강릉시 내곡동,내곡한라,84.95,11,22000
강원특별자치도 강릉시 내곡동,내곡한라,59.97,16,17000
강원특별자치도 강릉시 내곡동,내곡한라,59.97,14,17500
강원특별자치도 강릉시 내곡동,벽산블루밍더베스트아파트,59.96,7,27000
강원특별자치도 강릉시 내곡동,삼익타워맨션,129.41,6,23500
강원특별자치도 강릉시 노암동,노암3한라,74.64,7,19500
강원특별자치도 강릉시 노암동,노암3한라,59.994,2,16500
강원특별자치도 강릉시 노암동,노암3한라,74.64,14,23500
강원특별자치도 강릉시 노암동,노암남산현대,84.99,7,20500
강원특별자치도 강릉시 노암동,노암남산현대,84.99,7,20000
강원특별자치도 강릉시 노암동,노암남산현대,59.84,8,16400
강원특별자치도 강릉시 노암동,노암한라,59.976,8,13000
강원특별자치도 강릉시 노암동,서일,40.69,5,4900
강원특별자치도 강릉시 노암동,신화,44.64,5,12000
강원특별자치도 강릉시 노암동,양우내안애,59.6927,7,26000
강원특별자치도 강릉시 노암동,양우내안애,59.6927,7,26500
강원특별자치도 강릉시 성남동,제일자유상가,62,4,7800
강원특별자치도 강릉시 송정동,강릉송정신원아침도시,109.495,11,62000
강원특별자치도 강릉시 송정동,강릉송정신원아침도시,75.9722,6,34800
강원특별자치도 강릉시 송정동,강릉송정신원아침도시,75.9722,8,37300
강원특별자치도 강릉시 송정동,강릉송정한신더휴,84.9955,16,48900
강원특별자치도 강릉시 송정동,삼우은성,72.86,10,19500
강원특별자치도 강릉시 연곡면 영진리,삼우그린,43.2,9,8500
강원특별자치도 강릉시 연곡면 영진리,삼우그린,43.2,12,8700
강원특별자치도 강릉시 연곡면 영진리,삼우그린,30.24,1,5400
강원특별자치도 강릉시 연곡면 영진리,영진부영2,59.987,1,18000
강원특별자치도 강릉시 연곡면 영진리,영진부영3,84.9157,3,24500
강원특별자치도 강릉시 연곡면 영진리,영진부영3,84.9157,7,27000
강원특별자치도 강릉시 연곡면 영진리,영진부영3,84.9157,9,32500
강원특별자치도 강릉시 유천동,강릉유천유승한내들더퍼스트,84.3187,23,55800
강원특별자치도 강릉시 유천동,엘에이치선수촌8단지,74.88,16,43000
강원특별자치도 강릉시 유천동,엘에이치선수촌8단지,74.88,21,41200
강원특별자치도 강릉시 유천동,엘에이치선수촌8단지,74.88,16,46000
강원특별자치도 강릉시 입암동,강동4차,46.44,6,6000
강원특별자치도 강릉시 입암동,강릉더샵,84.94,7,32000
강원특별자치도 강릉시 입암동,강릉더샵,84.93,13,33000
강원특별자치도 강릉시 입암동,강릉입암동금호어울림,84.96,13,33500
강원특별자치도 강릉시 입암동,강릉입암동금호어울림,84.96,13,34000
강원특별자치도 강릉시 입암동,강변,54.93,5,9500
강원특별자치도 강릉시 입암동,삼동광업소사원,43.47,2,5500
강원특별자치도 강릉시 입암동,은하,39.85,5,6500
강원특별자치도 강릉시 입암동,이안강릉타운,157.34,14,42000
강원특별자치도 강릉시 입암동,이안강릉타운,122.72,14,36000
강원특별자치도 강릉시 입암동,입암1주공,39.72,2,8500
강원특별자치도 강릉시 입암동,입암2주공,39.3,1,10900
강원특별자치도 강릉시 입암동,입암4주공,59.8,15,17500
강원특별자치도 강릉시 입암동,입암4주공,59.8,4,14300
강원특별자치도 강릉시 입암동,입암5주공,49.97,8,12700
강원특별자치도 강릉시 입암동,입암5주공,39.99,1,8050
강원특별자치도 강릉시 입암동,입암5주공,39.99,12,9400
강원특별자치도 강릉시 입암동,입암6주공,59.99,6,16000
강원특별자치도 강릉시 입암동,입암6주공,49.62,10,10100
강원특별자치도 강릉시 입암동,입암6주공,49.62,14,12700
강원특별자치도 강릉시 입암동,입암6주공,59.99,1,16500
강원특별자치도 강릉시 입암동,입암6주공,49.62,7,13000
강원특별자치도 강릉시 입암동,입암6주공,49.62,11,14800
강원특별자치도 강릉시 입암동,입암6주공,49.62,14,13000
강원특별자치도 강릉시 입암동,입암6주공,49.62,13,13000
강원특별자치도 강릉시 입암동,입암동강변코아루오투리움아파트,79.191,10,33000
강원특별자치도 강릉시 입암동,입암현대,59.956,10,21500
강원특별자치도 강릉시 입암동,입암현대,84.904,7,26000
강원특별자치도 강릉시 입암동,태경태우광업소사원,36.69,2,4500
강원특별자치도 강릉시 입암동,태평양임대,34.722,8,6900
강원특별자치도 강릉시 입암동,태평양임대,34.722,7,7400
강원특별자치도 강릉시 입암동,태평양임대,39.348,7,9000
강원특별자치도 강릉시 주문진읍 교항리,극동,63.18,2,12500
강원특별자치도 강릉시 주문진읍 교항리,신생빌라,59.97,5,8150
강원특별자치도 강릉시 주문진읍 교항리,신생빌라,59.97,5,8150
강원특별자치도 강릉시 주문진읍 교항리,우신그린피아임대,49.86,5,7300
강원특별자치도 강릉시 주문진읍 교항리,우신그린피아임대,59.98,11,10500
강원특별자치도 강릉시 주문진읍 교항리,우신그린피아임대,59.98,6,10100
강원특별자치도 강릉시 주문진읍 교항리,유성,49.89,3,6900
강원특별자치도 강릉시 주문진읍 교항리,정우2,84.8,10,14800
강원특별자치도 강릉시 주문진읍 교항리,주문진벽산블루밍오션힐스,59.9493,4,25500
강원특별자치도 강릉시 주문진읍 교항리,주문진서희스타힐스아파트,74.934,20,34000
강원특별자치도 강릉시 주문진읍 교항리,주문진서희스타힐스아파트,59.8411,18,26000
강원특별자치도 강릉시 주문진읍 교항리,주문진서희스타힐스아파트,59.9534,9,25000
강원특별자치도 강릉시 주문진읍 주문리,주문진라일플로리스4차,27.902,6,12100
강원특별자치도 강릉시 주문진읍 주문리,주문진삼부르네상스,75.271,12,29000
강원특별자치도 강릉시 주문진읍 주문리,케이티레파트더블루힐,59.33,5,10000
강원특별자치도 강릉시 지변동,덕원임대,52.176,12,9500
강원특별자치도 강릉시 초당동,동부,59.84,11,18000
강원특별자치도 강릉시 초당동,동부,59.84,1,16500
강원특별자치도 강릉시 초당동,동부,84.98,15,23800
강원특별자치도 강릉시 초당동,동부,59.84,9,16500
강원특별자치도 강릉시 초당동,유화2,44.7,9,10800
강원특별자치도 강릉시 초당동,유화3,45.68,10,15100
강원특별자치도 강릉시 초당동,유화3,45.68,6,9200
강원특별자치도 강릉시 초당동,초당동청마루,84.9,12,31800
강원특별자치도 강릉시 포남동,강릉역동도센트리움,49.225,17,25160
강원특별자치도 강릉시 포남동,강릉임대,57.3,3,8300
강원특별자치도 강릉시 포남동,동남2,54.945,1,8000
강원특별자치도 강릉시 포남동,동덕.영진광업소사원주택,36.33,2,4700
강원특별자치도 강릉시 포남동,일송,59.135,12,16300
강원특별자치도 강릉시 포남동,일송,58.87,4,15800
강원특별자치도 강릉시 포남동,청송,84.42,15,24500
강원특별자치도 강릉시 포남동,포남2주공,39.69,1,10700
강원특별자치도 강릉시 홍제동,강릉홍제힐스테이트,129.689,10,46000
강원특별자치도 강릉시 홍제동,엘에이치미디어촌6단지,59.78,7,30000
강원특별자치도 강릉시 홍제동,엘에이치미디어촌6단지,59.78,13,32000
강원특별자치도 강릉시 홍제동,우미린아파트,78.4089,9,41300
강원특별자치도 강릉시 홍제동,우미린아파트,78.4089,3,39500
강원특별자치도 강릉시 홍제동,우산,50.445,6,12500
강원특별자치도 강릉시 홍제동,홍제한신휴플러스,59.96,12,29700
강원특별자치도 강릉시 회산동,강릉서희스타힐스리버파크,59.928,8,25000
강원특별자치도 강릉시 회산동,힐스테이트강릉,84.9925,12,39000
강원특별자치도 고성군 간성읍 신안리,간성스위트엠센트럴,66.9415,3,25500
강원특별자치도 고성군 간성읍 신안리,고성삼익레스타운,84.92,7,17700
강원특별자치도 고성군 간성읍 신안리,고성삼익레스타운,39.36,11,7500
강원특별자치도 고성군 간성읍 신안리,고성삼익레스타운,59.68,2,11500
강원특별자치도 고성군 간성읍 신안리,고성삼익레스타운,39.36,2,6900
강원특별자치도 고성군 거진읍 거진리,동진,58.26,5,5000
강원특별자치도 고성군 거진읍 거진리,동진,49.44,3,6000
강원특별자치도 고성군 거진읍 거진리,동진,56.13,3,7500
강원특별자치도 고성군 토성면 봉포리,고성봉포코아루오션비치,75.9201,15,33500
강원특별자치도 고성군 토성면 봉포리,봉포스위트엠오션파크,80.3048,18,27000
강원특별자치도 고성군 토성면 천진리,고성천진한신더휴,84.9721,18,33800
강원특별자치도 고성군 토성면 천진리,고성천진한신더휴,84.9721,8,30500
강원특별자치도 고성군 토성면 천진리,고성천진한신더휴,75.7237,10,26000
강원특별자치도 동해시 구미동,현진,59.8,3,6350
강원특별자치도 동해시 단봉동,성협3차,84.05,1,7000
강원특별자치도 동해시 동회동,"대동1,2차",59.3575,6,8700
강원특별자치도 동해시 동회동,"대동1,2차",73.4675,12,14400
강원특별자치도 동해시 동회동,"대동1,2차",84.5525,15,13500
강원특별자치도 동해시 동회동,"대동1,2차",59.3575,9,8550
강원특별자치도 동해시 동회동,"대동1,2차",73.4675,12,12800
강원특별자치도 동해시 동회동,북삼코아루,134.98,7,32000
강원특별자치도 동해시 동회동,북삼코아루,84.98,4,20800
강원특별자치도 동해시 동회동,북삼하우스디아파트,74.7297,28,28200
강원특별자치도 동해시 동회동,현대4차,73.4675,13,11500
강원특별자치도 동해시 동회동,현대4차,84.5525,9,15600
강원특별자치도 동해시 동회동,현대4차,73.4675,15,11000
강원특별자치도 동해시 동회동,현대4차,73.4675,13,12900
강원특별자치도 동해시 동회동,현대4차,59.3575,14,9500
강원특별자치도 동해시 동회동,현대5차,84.9562,2,15000
강원특별자치도 동해시 동회동,현대5차,77.7562,10,15200
강원특별자치도 동해시 동회동,협성1차,59.6,1,8000
강원특별자치도 동해시 발한동,강경,46.54,4,3000
강원특별자치도 동해시 발한동,강경,46.54,5,3000
강원특별자치도 동해시 발한동,경민2차,79.15,2,8000
강원특별자치도 동해시 발한동,대림,81.2342,13,14500
강원특별자치도 동해시 발한동,동해발한석미모닝파크,40.33,7,10000
강원특별자치도 동해시 발한동,삼성,84.99,18,11600
강원특별자치도 동해시 발한동,우석1차,32.28,3,3450
강원특별자치도 동해시 발한동,우석1차,32.28,5,2000
강원특별자치도 동해시 발한동,유성,24.84,5,2150
강원특별자치도 동해시 발한동,현대비에스앤씨현대썬앤빌동해파크힐,59.8993,11,23400
강원특별자치도 동해시 부곡동,삼화미성,49.89,4,5200
강원특별자치도 동해시 부곡동,삼화미성,49.89,4,5200
강원특별자치도 동해시 부곡동,선샤인파크,84.99,5,12500
강원특별자치도 동해시 부곡동,선샤인파크,76.34,14,10000
강원특별자치도 동해시 부곡동,성협1차,67.59,2,6500
강원특별자치도 동해시 부곡동,승우4차,84.96,10,9000
강원특별자치도 동해시 부곡동,유존,59.58,4,8300
강원특별자치도 동해시 부곡동,유존,35.045,5,4500
강원특별자치도 동해시 북평동,e편한세상동해,84.98,4,30700
강원특별자치도 동해시 북평동,북평주공2차,47.01,2,5170
강원특별자치도 동해시 쇄운동,아름다운아침,60,11,9200
강원특별자치도 동해시 쇄운동,아름다운아침,60,14,9200
강원특별자치도 동해시 쇄운동,아름다운아침,39.08,3,5900
강원특별자치도 동해시 쇄운동,아름다운아침,60,3,8950
강원특별자치도 동해시 쇄운동,아름다운아침,60,14,9300
강원특별자치도 동해시 쇄운동,영동4차,59.99,2,3600
강원특별자치도 동해시 쇄운동,한림,35.23,1,4000
강원특별자치도 동해시 이도동,동해아이파크,84.98,9,30500
강원특별자치도 동해시 이도동,동해아이파크,59.95,18,20800
강원특별자치도 동해시 이도동,동해아이파크,59.95,10,22000
강원특별자치도 동해시 이도동,동해이도코아루더스카이,84.9464,6,26800
강원특별자치도 동해시 이도동,동해이도코아루더스카이,84.9464,17,27700
강원특별자치도 동해시 이도동,동해이도코아루더스카이,75.4987,15,24700
강원특별자치도 동해시 이도동,동해이도코아루더스카이,84.9416,3,25600
강원특별자치도 동해시 이도동,동해이도코아루더스카이,84.9416,6,26500
강원특별자치도 동해시 이도동,이도1주공,49.62,2,6200
강원특별자치도 동해시 이도동,이도1주공,49.62,8,6200
강원특별자치도 동해시 이도동,이도2주공,59.39,7,9700
강원특별자치도 동해시 천곡동,동해금호어울림,84.908,23,23000
강원특별자치도 동해시 천곡동,동해금호어울림,84.908,23,23000
강원특별자치도 동해시 천곡동,롯데,84.81,2,13649
강원특별자치도 동해시 천곡동,롯데,59.88,11,10900
강원특별자치도 동해시 천곡동,삼성,84.98,2,14500
강원특별자치도 동해시 천곡동,삼성,84.99,15,15750
강원특별자치도 동해시 천곡동,삼성골드맨션,68.22,5,5800
강원특별자치도 동해시 천곡동,센트로빌,79.7485,10,18800
강원특별자치도 동해시 천곡동,시영1차,59.715,3,5300
강원특별자치도 동해시 천곡동,시영2차,49.89,2,6200
강원특별자치도 동해시 천곡동,쌍용,83.7,13,22000
강원특별자치도 동해시 천곡동,유공타워,59.256,15,10300
강원특별자치도 동해시 천곡동,천곡금호어울림라포레,64.7915,25,25500
강원특별자치도 동해시 천곡동,천곡주공1차,44.78,4,7500
강원특별자치도 동해시 천곡동,천곡주공4차,47.31,5,7500
강원특별자치도 동해시 천곡동,천곡주공4차,39.99,1,8400
강원특별자치도 동해시 천곡동,천곡주공4차,39.6,1,6440
강원특별자치도 동해시 천곡동,천곡주공4차,39.99,5,6250
강원특별자치도 동해시 천곡동,한양2차,84.855,11,14900
강원특별자치도 동해시 천곡동,한양2차,72.71,9,11100
강원특별자치도 동해시 천곡동,한양3차,69.36,4,9200
강원특별자치도 동해시 천곡동,한양3차,49.81,15,7300
강원특별자치도 동해시 천곡동,현대1차,71.355,3,11000
강원특별자치도 동해시 천곡동,현대1차,84.945,13,15200
강원특별자치도 동해시 천곡동,현대1차,71.355,8,9000
강원특별자치도 동해시 평릉동,코아루디오션,84.9788,1,31000
강원특별자치도 동해시 평릉동,코아루디오션,84.9788,12,29800
강원특별자치도 동해시 평릉동,코아루디오션,84.9788,5,29800
강원특별자치도 동해시 평릉동,코아루디오션,84.9788,9,33500
강원특별자치도 동해시 효가동,동아더프라임1단지,59.9798,10,16300
강원특별자치도 동해시 효가동,동아더프라임2단지,59.9798,15,20800
강원특별자치도 삼척시 갈천동,유존양지,59.97,2,6500
강원특별자치도 삼척시 갈천동,트루엘시그니처,84.6073,12,31500
강원특별자치도 삼척시 갈천동,트루엘시그니처,59.5743,25,23800
강원특별자치도 삼척시 갈천동,트루엘시그니처,59.7471,12,22700
강원특별자치도 삼척시 건지동,코아루플러스,84.839,8,22000
강원특별자치도 삼척시 건지동,코아루플러스,75.309,15,19800
강원특별자치도 삼척시 건지동,코아루플러스,84.78,8,24600
강원특별자치도 삼척시 교동,e편한세상삼척교동,59.8769,22,20700
강원특별자치도 삼척시 교동,e편한세상삼척교동,84.6585,5,27700
강원특별자치도 삼척시 교동,교동지웰,59.8194,19,17800
강원특별자치도 삼척시 교동,교동지웰,72.3141,12,22650
강원특별자치도 삼척시 교동,교동지웰,72.3141,2,21000
강원특별자치도 삼척시 교동,교동지웰,84.9811,11,28100
강원특별자치도 삼척시 교동,교동지웰,84.9811,7,27300
강원특별자치도 삼척시 교동,교동청솔2차,59.85,8,8800
강원특별자치도 삼척시 교동,교동청솔2차,59.85,7,8000
강원특별자치도 삼척시 교동,교동청솔2차,59.85,6,9100
강원특별자치도 삼척시 교동,교동청솔2차,59.85,10,8500
강원특별자치도 삼척시 교동,교동청솔2차,59.85,10,9900
강원특별자치도 삼척시 교동,교동코아루,60,12,10300
강원특별자치도 삼척시 교동,교동코아루,60,5,9000
강원특별자치도 삼척시 교동,교동코아루,84.929,6,21000
강원특별자치도 삼척시 교동,동부,59.83,11,8250
강원특별자치도 삼척시 교동,동부,84.915,4,13000
강원특별자치도 삼척시 교동,코아루타워,59.97,15,18000
강원특별자치도 삼척시 교동,코아루타워,59.97,6,17400
강원특별자치도 삼척시 남양동,강부맨션,84.37,3,13000
강원특별자치도 삼척시 남양동,드림팰리스,84.908,8,26000
강원특별자치도 삼척시 도계읍 도계리,한림,37.62,2,2000
강원특별자치도 삼척시 원당동,원당현대,59.815,5,8600
강원특별자치도 삼척시 원당동,한양,84.54,12,12000
강원특별자치도 삼척시 정상동,경림한아름,59.877,14,12800
강원특별자치도 삼척시 정상동,석미,56.97,2,6900
강원특별자치도 삼척시 정상동,석미,56.97,9,6950
강원특별자치도 삼척시 정상동,석미,56.97,10,7500
강원특별자치도 삼척시 정상동,석미,56.97,10,7500
강원특별자치도 삼척시 정상동,석미,56.97,14,7500
강원특별자치도 삼척시 정상동,석미,39.87,6,6600
강원특별자치도 삼척시 정상동,영진(라),49.68,3,4250
강원특별자치도 삼척시 정상동,유성,39.48,5,5000
강원특별자치도 삼척시 정상동,유성,48.03,6,4600
강원특별자치도 삼척시 정상동,유성,39.48,7,4300
강원특별자치도 삼척시 정상동,유성,59.43,12,7150
강원특별자치도 삼척시 정상동,유성,39.48,8,4500
강원특별자치도 삼척시 정상동,유성,39.48,8,4500
강원특별자치도 삼척시 정상동,유성,59.43,10,6300
강원특별자치도 삼척시 정상동,유성,48.03,6,5300
강원특별자치도 삼척시 정상동,정상주공,39.63,5,4250
강원특별자치도 삼척시 정상동,정상주공,47.01,3,4300
강원특별자치도 삼척시 정상동,청솔1차,59.85,4,9150
강원특별자치도 삼척시 정상동,청솔1차,59.85,9,8200
강원특별자치도 삼척시 정상동,청솔1차,59.85,1,9000
강원특별자치도 삼척시 정상동,청솔1차,59.85,9,8500
강원특별자치도 삼척시 정상동,현진에버빌,64.564,9,16000
강원특별자치도 삼척시 정상동,현진에버빌,80.429,5,22800
강원특별자치도 삼척시 정상동,현진에버빌,80.429,3,20100
강원특별자치도 속초시 교동,남광하우스토리,59.5144,13,23300
강원특별자치도 속초시 교동,남광하우스토리,59.8268,19,23500
강원특별자치도 속초시 교동,남광하우스토리,59.5144,10,22200
강원특별자치도 속초시 교동,동부,84.96,20,24200
강원특별자치도 속초시 교동,럭키설악2,84.991,1,15100
강원특별자치도 속초시 교동,럭키설악2,84.991,5,15000
강원특별자치도 속초시 교동,로얄나하나1차,59.97,11,11500
강원특별자치도 속초시 교동,로얄나하나1차,59.97,5,10000
강원특별자치도 속초시 교동,로얄나하나1차,59.97,5,12000
강원특별자치도 속초시 교동,명지미래힐,84.9295,10,28000
강원특별자치도 속초시 교동,명지미래힐,84.9295,1,24000
강원특별자치도 속초시 교동,명지미래힐,84.9295,9,28500
강원특별자치도 속초시 교동,삼호,39.906,4,6250
강원특별자치도 속초시 교동,삼환,54.58,4,10000
강원특별자치도 속초시 교동,삼환,54.58,4,10700
강원특별자치도 속초시 교동,석미모닝파크,73.1,8,24800
강원특별자치도 속초시 교동,석미모닝파크,73.1,8,24800
강원특별자치도 속초시 교동,설악현대,63.405,15,15000
강원특별자치도 속초시 교동,설악현대,84.907,11,18000
강원특별자치도 속초시 교동,속초교동블루핀,24.88,13,10700
강원특별자치도 속초시 교동,속초교동블루핀,15.07,15,9900
강원특별자치도 속초시 교동,속초교동시티프라디움,84.3403,6,37000
강원특별자치도 속초시 교동,주공2,46.98,1,15300
강원특별자치도 속초시 교동,주공3,51.66,4,15631
강원특별자치도 속초시 교동,주공3,41.85,6,11700
강원특별자치도 속초시 교동,청초대우,59.97,10,19400
강원특별자치도 속초시 교동,청초대우,59.97,5,18500
강원특별자치도 속초시 교동,현대1,84.99,8,15000
강원특별자치도 속초시 교동,현대1,75.24,9,15000
강원특별자치도 속초시 금호동,금호로얄맨션,59.97,12,12800
강원특별자치도 속초시 금호동,서울대명2,59.4,3,14500
강원특별자치도 속초시 금호동,속초대명2,59.895,2,11300
강원특별자치도 속초시 동명동,e편한세상영랑호,84.9451,10,38000
강원특별자치도 속초시 동명동,e편한세상영랑호,84.9147,22,45000
강원특별자치도 속초시 동명동,대명영랑호,59.93,1,18000
강원특별자치도 속초시 동명동,속초디오션자이,84.9745,37,57803
강원특별자치도 속초시 장사동,속초대희지센트,84.8714,6,44000
강원특별자치도 속초시 조양동,ES아뜨리움,79.4635,13,30800
강원특별자치도 속초시 조양동,대광로제비앙,84.8533,17,31500
강원특별자치도 속초시 조양동,대광로제비앙,84.8533,5,28500
강원특별자치도 속초시 조양동,대광로제비앙,84.8533,15,24000
강원특별자치도 속초시 조양동,대광로제비앙,84.9739,9,26000
강원특별자치도 속초시 조양동,부영1(동광),84.76,4,21000
강원특별자치도 속초시 조양동,부영2,49.92,5,14300
강원특별자치도 속초시 조양동,부영3,59.905,6,18000
강원특별자치도 속초시 조양동,부영3,84.88,3,24000
강원특별자치도 속초시 조양동,부영3,84.88,3,24000
강원특별자치도 속초시 조양동,부영3,59.905,1,15300
강원특별자치도 속초시 조양동,부영3,59.905,10,19000
강원특별자치도 속초시 조양동,부영3,59.905,11,19000
강원특별자치도 속초시 조양동,부영3,59.905,8,16000
강원특별자치도 속초시 조양동,부영3,59.905,13,17300
강원특별자치도 속초시 조양동,부영5,50,11,13900
강원특별자치도 속초시 조양동,부영5,40,3,10500
강원특별자치도 속초시 조양동,부영6,60,4,15500
강원특별자치도 속초시 조양동,부영6,40,1,9000
강원특별자치도 속초시 조양동,부영9,50,4,15000
강원특별자치도 속초시 조양동,부영9,40,2,9500
강원특별자치도 속초시 조양동,부영9,40,4,11200
강원특별자치도 속초시 조양동,성호,49.65,11,12400
강원특별자치도 속초시 조양동,성호,59.76,10,13000
강원특별자치도 속초시 조양동,성호,59.76,13,15200
강원특별자치도 속초시 조양동,성호,59.76,11,14300
강원특별자치도 속초시 조양동,성호,59.76,11,14300
강원특별자치도 속초시 조양동,성호,49.65,12,11000
강원특별자치도 속초시 조양동,성호,59.76,12,16100
강원특별자치도 속초시 조양동,속초KCC스위첸,84.9762,12,43500
강원특별자치도 속초시 조양동,속초KCC스위첸,74.5213,2,34800
강원특별자치도 속초시 조양동,속초KCC스위첸,74.5213,8,36800
강원특별자치도 속초시 조양동,속초KCC스위첸,74.5213,23,37500
강원특별자치도 속초시 조양동,속초KCC스위첸,84.9762,1,38000
강원특별자치도 속초시 조양동,속초자이,84.9314,29,50700
강원특별자치도 속초시 조양동,속초자이,74.8469,19,42000
강원특별자치도 속초시 조양동,속초자이,84.9974,4,40000
강원특별자치도 속초시 조양동,속초자이,84.9974,20,47000
강원특별자치도 속초시 조양동,속초자이,59.8966,11,32000
강원특별자치도 속초시 조양동,속초조양양우내안애아파트,59.9903,13,27000
강원특별자치도 속초시 조양동,속초조양코아루,84.98,15,29500
강원특별자치도 속초시 조양동,조양1주공,59.99,15,16600
강원특별자치도 속초시 조양동,조양2주공,49.62,8,13000
강원특별자치도 속초시 조양동,조양2주공,49.62,7,12600
강원특별자치도 속초시 조양동,조양2주공,49.62,12,13000
강원특별자치도 속초시 조양동,조양동휴먼빌아파트,84.288,13,38500
강원특별자치도 속초시 조양동,조양동휴먼빌아파트,84.288,16,40000
강원특별자치도 속초시 조양동,효성해링턴플레이스,84.98,9,38000
강원특별자치도 속초시 청호동,속초청호아이파크,84.82,27,70000
강원특별자치도 속초시 청호동,속초청호아이파크,84.82,27,33500
강원특별자치도 양구군 양구읍 상리,경림,37.755,9,7300
강원특별자치도 양구군 양구읍 상리,경림,59.4,13,12150
강원특별자치도 양구군 양구읍 상리,서희스타힐스,84.99,9,27200
강원특별자치도 양구군 양구읍 정림리,양구석미모닝파크,77.12,1,15850
강원특별자치도 양구군 양구읍 정림리,양구석미모닝파크,84.9,4,16800
강원특별자치도 양구군 양구읍 정림리,양구석미모닝파크,77.12,7,17500
강원특별자치도 양구군 양구읍 정림리,양구석미모닝파크,77.12,1,17000
강원특별자치도 양양군 손양면 하왕도리,삼호,39.6,1,6000
강원특별자치도 양양군 손양면 하왕도리,삼호,49.14,12,10500
강원특별자치도 양양군 양양읍 거마리,설악실크벨리,25.45,2,3550
강원특별자치도 양양군 양양읍 내곡리,이편한세상양양,60.3525,15,26000
강원특별자치도 양양군 양양읍 내곡리,한양수자인,84.9782,6,33500
강원특별자치도 양양군 양양읍 서문리,양양서문주공,51.85,1,13500
강원특별자치도 양양군 양양읍 서문리,양양서문주공,59.57,5,13500
강원특별자치도 양양군 양양읍 성내리,정아2,59.88,13,13000
강원특별자치도 양양군 양양읍 월리,명지푸르미,31.5408,5,6450
강원특별자치도 양양군 양양읍 월리,명지푸르미,59.449,4,10000
강원특별자치도 양양군 양양읍 월리,명지푸르미,31.5408,12,6900
강원특별자치도 양양군 양양읍 월리,명지푸르미,59.449,11,11800
강원특별자치도 양양군 현남면 광진리,대목바다마을,38.88,2,10000
강원특별자치도 양양군 현북면 중광정리,심미,48.3066,9,20000
강원특별자치도 영월군 영월읍 덕포리,금용,59.82,1,5900
강원특별자치도 영월군 영월읍 덕포리,금용,73.58,12,8750
강원특별자치도 영월군 영월읍 덕포리,영월덕포리코아루웰라움,59.9432,2,17500
강원특별자치도 영월군 영월읍 덕포리,영월덕포리코아루웰라움,69.7641,4,19500
강원특별자치도 영월군 영월읍 덕포리,영월덕포리코아루웰라움,69.7641,19,19500
강원특별자치도 영월군 영월읍 방절리,신아,27.72,5,2500
강원특별자치도 영월군 영월읍 영흥리,명보,44,3,4150
강원특별자치도 영월군 영월읍 하송리,다미아아파트,79.4678,18,29400
강원특별자치도 영월군 영월읍 하송리,드림채,84.9381,9,19000
강원특별자치도 영월군 영월읍 하송리,주공2,47.31,1,6400
강원특별자치도 영월군 영월읍 하송리,주공2,47.31,5,5000
강원특별자치도 영월군 영월읍 하송리,주공2,39.99,3,5000
강원특별자치도 영월군 영월읍 하송리,주공2,39.99,1,5200
강원특별자치도 영월군 영월읍 하송리,주공2,47.31,4,5800
강원특별자치도 영월군 영월읍 하송리,주공3,49.96,8,8450
강원특별자치도 영월군 영월읍 하송리,주공3,49.96,9,8500
강원특별자치도 영월군 영월읍 하송리,주공4,49.96,6,8500
강원특별자치도 영월군 영월읍 하송리,주공4,49.96,9,8600
강원특별자치도 영월군 영월읍 하송리,하송주공1차,39.38,4,4500
강원특별자치도 영월군 영월읍 하송리,하송주공1차,39.38,4,5300
강원특별자치도 영월군 영월읍 하송리,하송주공1차,39.38,3,5000
강원특별자치도 영월군 영월읍 하송리,하송주공1차,53.96,5,6500
강원특별자치도 원주시 개운동,개운현대,84.974,10,12800
강원특별자치도 원주시 개운동,개운현대,35.1,8,6500
강원특별자치도 원주시 개운동,서초,46.915,11,6300
강원특별자치도 원주시 개운동,원흥아파트1차,70.504,2,6500
강원특별자치도 원주시 개운동,원흥아파트1차,70.504,2,6500
