시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
강원특별자치도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,202312,12,"23,300",14,2005,경강로2539번길 22,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,118.0686,202312,29,"46,000",11,2009,화부산로111번길 24,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1750,1750,0,교동1주공,49.85,202312,13,"18,500",4,1999,가작로 78,,20231213,중개거래,강릉시
강원특별자치도 강릉시 교동,1750,1750,0,교동1주공,84.84,202312,27,"29,000",3,1999,가작로 78,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1767,1767,0,교동2현대,84.97,202312,20,"38,000",10,1999,교동광장로 138-15,,20231220,직거래,-
강원특별자치도 강릉시 교동,1766,1766,0,교동3주공,59.74,202312,26,"25,000",2,2002,교동광장로 138-12,,20231226,직거래,-
강원특별자치도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,202312,1,"32,000",15,2006,종합운동장길 92,,20231215,직거래,-
강원특별자치도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,202312,24,"38,000",15,2006,종합운동장길 92,, ,중개거래,강릉시
강원특별자치도 강릉시 교동,1762,1762,0,부영5,84.93,202312,8,"31,500",8,2001,교동광장로 163,,20231218,중개거래,강릉시
강원특별자치도 강릉시 교동,Mar-37,37,3,예성그린1,33.9,202312,11,"7,100",3,1995,가작로252번길 22,,20231221,직거래,-
강원특별자치도 강릉시 교동,1759,1759,0,현대하이빌,122.74,202312,27,"46,000",15,1999,원대로128번길 14,,20240104,직거래,-
강원특별자치도 강릉시 금학동,07월 05일,7,5,금학상가,105.75,202312,21,"30,000",9,1992,금성로 20,, ,중개거래,경북 포항북구
강원특별자치도 강릉시 내곡동,Jan-75,75,1,관동2,49.94,202312,4,"7,000",4,1992,남산초교길12번길 11,,20231204,직거래,-
강원특별자치도 강릉시 내곡동,127,127,0,남산삼익,58.74,202312,8,"14,500",3,1993,남부로125번길 37,, ,중개거래,강릉시
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,84.95,202312,9,"20,000",5,1997,강변로 114,,20231220,중개거래,강릉시
강원특별자치도 강릉시 내곡동,476,476,0,내곡한라,84.95,202312,30,"22,000",4,1997,강변로 114,, ,중개거래,강릉시
강원특별자치도 강릉시 노암동,618-1,618,1,고합,43.38,202312,23,"8,450",6,1996,남부로125번길 23,,20231227,중개거래,강릉시
강원특별자치도 강릉시 노암동,605,605,0,노암3한라,59.994,202312,18,"16,000",3,2000,남부로125번길 7,, ,중개거래,강릉시
강원특별자치도 강릉시 노암동,610,610,0,노암남산현대,59.84,202312,5,"15,000",12,1998,남부로125번길 11,, ,중개거래,강릉시
강원특별자치도 강릉시 노암동,610,610,0,노암남산현대,84.99,202312,11,"21,000",7,1998,남부로125번길 11,,20231211,직거래,-
