시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
강원특별자치도 강릉시 노암동,610,610,0,노암남산현대,84.99,202312,27,"19,900",1,1998,남부로125번길 11,, ,중개거래,강릉시
강원특별자치도 강릉시 노암동,367,367,0,노암영진,49.815,202312,11,"8,500",6,1993,노암등길46번길 11,,20231220,중개거래,강릉시
강원특별자치도 강릉시 노암동,661,661,0,범아,52.7,202312,13,"4,700",5,1980,임영로25번길 3-6,,20231215,중개거래,강릉시
강원특별자치도 강릉시 노암동,711,711,0,신화,44.64,202312,1,"12,000",10,1998,강변로 270,,20231201,직거래,-
강원특별자치도 강릉시 노암동,844,844,0,양우내안애,59.6927,202312,15,"25,000",4,2009,강변로 328-8,, ,중개거래,강릉시
강원특별자치도 강릉시 송정동,1065,1065,0,강릉송정신원아침도시,75.9722,202312,26,"33,200",6,2020,경강로 2498,, ,중개거래,강릉시
강원특별자치도 강릉시 송정동,1064,1064,0,송정아이파크,81.47,202312,27,"42,000",15,2019,경강로 2511,,20240103,중개거래,강릉시
강원특별자치도 강릉시 송정동,1064,1064,0,송정아이파크,105.82,202312,29,"59,200",12,2019,경강로 2511,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,305-2,305,2,삼우그린,43.2,202312,22,"8,000",1,1999,연주로 132,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202312,6,"18,000",1,2005,영진3길 43,,20231229,직거래,-
강원특별자치도 강릉시 연곡면 영진리,12,12,0,영진부영2,59.987,202312,9,"19,500",9,2005,영진3길 43,,20240102,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202312,8,"27,500",10,2008,영진3길 15,,20231226,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202312,15,"22,800",3,2008,영진3길 15,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,380,380,0,영진부영3,84.9157,202312,15,"25,000",9,2008,영진3길 15,, ,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,381,381,0,영진코아루비치테라스,29.9674,202312,18,"14,100",14,2019,홍질목길 12,,20231229,중개거래,강릉시
강원특별자치도 강릉시 연곡면 영진리,353-10,353,10,정우1,72.69,202312,18,"7,800",5,1991,영진길 20-2,,20231227,중개거래,강릉시
강원특별자치도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,74.88,202312,7,"29,000",22,2018,선수촌로 113,,20231207,직거래,-
강원특별자치도 강릉시 유천동,778,778,0,엘에이치선수촌8단지,74.88,202312,14,"43,500",16,2018,선수촌로 113,,20231220,직거래,-
강원특별자치도 강릉시 입암동,711,711,0,강릉더샵,84.94,202312,1,"29,900",2,2014,입암로29번길 11,,20231228,중개거래,강릉시
강원특별자치도 강릉시 입암동,Jan-97,97,1,그린내하우스,82.53,202312,15,"25,200",4,2020,월대산로 85-7,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,May-90,90,5,은하,39.85,202312,27,"5,500",5,2001,월대산로 47,,20231228,중개거래,강릉시
강원특별자치도 강릉시 입암동,210,210,0,이안강릉타운,122.72,202312,15,"35,500",12,2006,성덕로 316-22,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,685,685,0,입암4주공,59.8,202312,21,"13,300",3,1996,성덕포남로 89,,20240102,중개거래,강릉시
강원특별자치도 강릉시 입암동,685,685,0,입암4주공,59.8,202312,21,"17,000",8,1996,성덕포남로 89,,20231221,직거래,-
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202312,7,"14,000",5,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202312,7,"17,000",12,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202312,14,"11,900",2,1998,성덕포남로 39,,20240102,중개거래,강릉시
강원특별자치도 강릉시 입암동,712,712,0,입암동강변코아루오투리움아파트,79.191,202312,5,"31,250",6,2019,월대산로 23,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,712,712,0,입암동강변코아루오투리움아파트,79.191,202312,27,"29,000",8,2019,월대산로 23,,20231227,중개거래,강릉시
강원특별자치도 강릉시 입암동,440,440,0,입암현대,84.904,202312,2,"28,600",11,1998,용지로 19,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,39.348,202312,12,"7,500",3,1998,강변로410번길 31-5,20240102, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,39.348,202312,12,"8,100",13,1998,강변로410번길 31-5,20231229, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,34.722,202312,28,"6,500",4,1998,강변로410번길 31-5,,20240102,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,49.85,202312,6,"11,000",4,2000,연주로 241-7,,20231206,직거래,-
강원특별자치도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,39.51,202312,23,"11,000",8,2000,연주로 241-7,,20231229,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,240-11,240,11,극동,63.18,202312,27,"12,000",6,1991,웃사다리4길 20,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1261,1261,0,센텀파크디오션(1단지),84.8819,202312,22,"18,000",6,2015,매맥이윗길 15,,20231228,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1262,1262,0,센텀파크디오션(2단지),84.8819,202312,8,"23,000",7,2015,매맥이윗길 15,,20231227,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,Jan-44,44,1,소훈,79.08,202312,22,"8,200",4,1991,매맥이길 14-3,,20240104,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,59.98,202312,15,"11,500",3,1999,보리골길 26,,20231218,직거래,-
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,59.98,202312,15,"10,000",7,1999,보리골길 26,,20240104,직거래,-
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,59.98,202312,19,"10,200",1,1999,보리골길 26,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,49.86,202312,26,"7,250",11,1999,보리골길 26,,20240105,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,387-6,387,6,주공,36.2,202312,1,"7,700",4,1982,신리천로 72,,20231222,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,21,21,0,주문진서희스타힐스아파트,74.934,202312,21,"31,500",15,2020,연주로 281-21,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,21,21,0,주문진서희스타힐스아파트,59.8411,202312,28,"27,000",14,2020,연주로 281-21,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 주문리,329-19,329,19,강릉주문진풍림아이원하버뷰,74.67,202312,20,"39,900",19,2019,항구로 40,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 주문리,61,61,0,주문진라일플로리스4차,23.662,202312,8,"9,500",9,2017,오리나루2길 25,,20231221,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 주문리,1586,1586,0,주문진삼부르네상스,75.271,202312,12,"32,000",12,2021,철둑길 45-11,,20231227,중개거래,"강릉시, 양양군"
강원특별자치도 강릉시 지변동,334,334,0,덕원임대,33.471,202312,23,"4,900",1,1998,죽헌길85번길 25,, ,중개거래,강릉시
강원특별자치도 강릉시 초당동,135-1,135,1,이화해변아파트(B~D동),29.82,202312,5,"6,800",3,1988,초당원길 21,,20231205,중개거래,강릉시
강원특별자치도 강릉시 포남동,422-3,422,3,대인4,84.36,202312,9,"18,000",2,1995,강릉대로469번길 14,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1005-248,1005,248,동남,54.945,202312,29,"12,000",5,1985,경강로2256번길 12,,20240105,중개거래,강릉시
강원특별자치도 강릉시 포남동,1063,1063,0,동덕.영진광업소사원주택,36.33,202312,1,"5,700",5,1989,보래미하길65번길 24,,20231201,중개거래,강릉시
강원특별자치도 강릉시 포남동,1110-9,1110,9,서일임대,23.76,202312,15,"2,800",1,1986,강릉대로359번길 11-17,,20231228,직거래,-
강원특별자치도 강릉시 포남동,1125,1125,0,세화상가,61.44,202312,12,"9,700",3,1994,경강로2223번길 15,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1005-246,1005,246,조성빌라,82.71,202312,22,"10,000",4,1986,성덕포남로153번길 17,,20231226,중개거래,강릉시
강원특별자치도 강릉시 포남동,1200,1200,0,포남2주공,39.69,202312,7,"10,200",4,1989,산양큰길 37,,20240104,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.78,202312,5,"30,300",13,2018,선수촌로 10,, ,직거래,-
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202312,10,"31,500",13,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.78,202312,16,"30,000",16,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1037,1037,0,우미린아파트,84.9914,202312,28,"44,500",17,2016,선수촌로 55,, ,중개거래,강릉시
강원특별자치도 강릉시 회산동,608,608,0,강릉서희스타힐스리버파크,84.8956,202312,18,"33,000",6,2017,회산로 344,,20240102,직거래,-
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,59.68,202312,5,"12,500",3,1998,남천마루2길 6,, ,직거래,-
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,39.36,202312,6,"7,800",8,1998,남천마루2길 6,,20231207,직거래,-
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,39.36,202312,7,"7,300",12,1998,남천마루2길 6,, ,중개거래,고성군
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,39.36,202312,12,"7,900",10,1998,남천마루2길 6,,20231213,중개거래,고성군
강원특별자치도 고성군 토성면 봉포리,384,384,0,고성봉포코아루오션비치,75.9201,202312,4,"29,000",12,2021,학사촌길 91-7,,20231227,중개거래,고성군
강원특별자치도 고성군 토성면 천진리,476,476,0,고성천진한신더휴,84.9721,202312,27,"29,800",6,2021,천진7길 29,, ,중개거래,고성군
강원특별자치도 고성군 토성면 청간리,217,217,0,유진클래시움,59.52,202312,14,"18,000",6,2006,아야진해변길 1,,20231229,중개거래,속초시
강원특별자치도 동해시 대진동,02월 02일,2,2,화목썬빌리지,84.863,202312,11,"17,300",3,2015,일출로 432,,20231222,직거래,-
강원특별자치도 동해시 동회동,442,442,0,"대동1,2차",84.5525,202312,5,"11,200",2,1995,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,"대동1,2차",59.3575,202312,14,"7,750",3,1995,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,"대동1,2차",73.4675,202312,15,"11,900",10,1995,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,"대동1,2차",45,202312,20,"6,700",9,1995,청운1길 29,,20240102,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,대동3차,84.5525,202312,2,"14,800",15,1996,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,Jan-49,49,1,대아주택2차,59.76,202312,11,"5,500",3,1991,효자남2길 9,,20231215,중개거래,동해시
강원특별자치도 동해시 동회동,457,457,0,북삼2차웰메이드타운,111.7756,202312,15,"40,000",13,2019,효자로 636-2,, ,중개거래,동해시
강원특별자치도 동해시 동회동,457,457,0,북삼2차웰메이드타운,84.6872,202312,20,"31,000",4,2019,효자로 636-2,,20231227,중개거래,동해시
강원특별자치도 동해시 동회동,457,457,0,북삼2차웰메이드타운,75.5869,202312,21,"28,300",13,2019,효자로 636-2,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,북삼코아루,84.98,202312,9,"22,200",13,2007,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,북삼코아루,84.98,202312,20,"18,700",1,2007,청운1길 29,,20231229,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,북삼코아루,84.98,202312,21,"22,000",19,2007,청운1길 29,,20240103,직거래,-
강원특별자치도 동해시 동회동,451,451,0,북삼하우스디아파트,84.9625,202312,21,"31,300",24,2018,효자남길 33-20,, ,중개거래,동해시
강원특별자치도 동해시 동회동,451,451,0,북삼하우스디아파트,84.9625,202312,21,"31,000",13,2018,효자남길 33-20,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대4차,73.4675,202312,15,"10,200",1,1998,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대4차,73.4675,202312,15,"14,300",9,1998,청운1길 29,,20231215,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대4차,45,202312,20,"6,200",6,1998,청운1길 29,, ,직거래,-
강원특별자치도 동해시 동회동,442,442,0,현대5차,84.9562,202312,5,"15,000",16,1999,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,90,90,0,협성1차,59.6,202312,6,"5,900",4,1995,효자남길 10,,20231215,중개거래,동해시
강원특별자치도 동해시 묵호진동,1-83,1,83,삼본임대,40.965,202312,1,"8,350",5,1996,해맞이길 231,, ,중개거래,동해시
강원특별자치도 동해시 발한동,233-67,233,67,강경,46.54,202312,5,"4,700",2,1991,지리골길 36,, ,직거래,-
강원특별자치도 동해시 발한동,778,778,0,동해발한석미모닝파크,84.81,202312,23,"18,200",2,2015,해안로 635-5,, ,중개거래,동해시
강원특별자치도 동해시 발한동,219-5,219,5,동해프라자,65.28,202312,16,"9,500",6,1988,발한로 176,, ,중개거래,동해시
강원특별자치도 동해시 발한동,599-31,599,31,유성,24.84,202312,15,"1,400",3,1989,수원지2길 24,,20231228,중개거래,동해시
강원특별자치도 동해시 발한동,801,801,0,현대비에스앤씨현대썬앤빌동해파크힐,75.5994,202312,17,"26,000",4,2018,지리골길 31,, ,중개거래,동해시
강원특별자치도 동해시 부곡동,Feb-31,31,2,삼화미성,49.89,202312,9,"5,600",1,1991,부곡4길 10,,20231229,직거래,-
강원특별자치도 동해시 부곡동,Feb-31,31,2,삼화미성,49.89,202312,27,"5,200",4,1991,부곡4길 10,,20231227,직거래,-
강원특별자치도 동해시 부곡동,105-4,105,4,성협2차,64.115,202312,11,"7,550",1,1990,부곡2길 28,, ,중개거래,동해시
강원특별자치도 동해시 부곡동,134-4,134,4,승우파크빌라3차,81.66,202312,14,"8,500",1,1994,부곡복개로 42,, ,중개거래,동해시
강원특별자치도 동해시 부곡동,599-32,599,32,우석2차,51.21,202312,19,"5,000",4,1987,수원지2길 17-8,, ,중개거래,동해시
강원특별자치도 동해시 부곡동,599-32,599,32,우석2차,31.76,202312,29,"2,700",2,1987,수원지2길 17-8,,20240104,직거래,-
강원특별자치도 동해시 부곡동,111-1,111,1,유존,84.97,202312,13,"6,000",1,1995,부곡2길 26,,20231213,직거래,-
강원특별자치도 동해시 부곡동,5-82,5,82,일정골든타워,30.273,202312,8,"4,000",3,1996,해안로 449,,20231214,중개거래,동해시
강원특별자치도 동해시 북평동,327,327,0,e편한세상동해,78.64,202312,15,"27,800",17,2020,단봉길 39,, ,중개거래,동해시
강원특별자치도 동해시 북평동,327,327,0,e편한세상동해,84.98,202312,19,"32,000",4,2020,단봉길 39,,20240104,직거래,-
강원특별자치도 동해시 북평동,327,327,0,e편한세상동해,78.86,202312,20,"28,000",15,2020,단봉길 39,, ,중개거래,동해시
강원특별자치도 동해시 북평동,151-5,151,5,북평주공2차,39.3,202312,28,"4,700",1,1989,전천로 270,, ,중개거래,동해시
강원특별자치도 동해시 쇄운동,173-6,173,6,보배,37.35,202312,20,"3,500",14,1997,효자로 600-1,, ,중개거래,동해시
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,49.95,202312,1,"6,700",9,2012,효자로 572-1,,20231229,중개거래,동해시
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,60,202312,12,"9,100",12,2012,효자로 572-1,,20231212,직거래,-
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,39.08,202312,14,"5,750",10,2012,효자로 572-1,,20231219,직거래,-
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,60,202312,27,"9,650",6,2012,효자로 572-1,, ,중개거래,동해시
강원특별자치도 동해시 쇄운동,173-1,173,1,영동4차,59.99,202312,14,"4,850",4,1993,효자로 584-1,, ,중개거래,동해시
강원특별자치도 동해시 어달동,1-83,1,83,삼본임대,40.965,202312,10,"9,000",3,1996,해맞이길 231,,20240103,직거래,-
강원특별자치도 동해시 이도동,302-6,302,6,강변,49.275,202312,12,"4,700",1,1996,전천로 175-24,,20231212,중개거래,동해시
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,59.95,202312,5,"20,800",14,2018,배골길 32-4,,20231227,중개거래,동해시
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,59.95,202312,8,"20,250",1,2018,배골길 32-4,, ,중개거래,동해시
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,84.98,202312,14,"31,300",13,2018,배골길 32-4,,20231226,중개거래,동해시
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,84.98,202312,21,"31,500",13,2018,배골길 32-4,,20240102,중개거래,동해시
강원특별자치도 동해시 이도동,751,751,0,동해아이파크,59.95,202312,27,"21,600",8,2018,배골길 32-4,, ,중개거래,동해시
강원특별자치도 동해시 이도동,753,753,0,동해이도코아루더스카이,84.9416,202312,13,"25,600",3,2019,동해대로 4833,,20231222,중개거래,동해시
강원특별자치도 동해시 이도동,753,753,0,동해이도코아루더스카이,84.9416,202312,20,"27,400",13,2019,동해대로 4833,,20231228,중개거래,동해시
강원특별자치도 동해시 이도동,753,753,0,동해이도코아루더스카이,84.9464,202312,20,"27,300",18,2019,동해대로 4833,, ,중개거래,동해시
강원특별자치도 동해시 이도동,753,753,0,동해이도코아루더스카이,84.9416,202312,20,"27,900",11,2019,동해대로 4833,, ,중개거래,동해시
강원특별자치도 동해시 이도동,753,753,0,동해이도코아루더스카이,84.9416,202312,20,"27,000",8,2019,동해대로 4833,,20231228,중개거래,동해시
강원특별자치도 동해시 이도동,155,155,0,이도1주공,49.62,202312,1,"6,500",11,1999,이원길 180-2,,20231201,직거래,-
강원특별자치도 동해시 이도동,154,154,0,이도2주공,59.39,202312,8,"9,600",13,1999,이원길 180-2,, ,중개거래,동해시
강원특별자치도 동해시 이도동,154,154,0,이도2주공,59.39,202312,23,"10,000",7,1999,이원길 180-2,, ,중개거래,동해시
강원특별자치도 동해시 이도동,154,154,0,이도2주공,59.39,202312,29,"8,000",1,1999,이원길 180-2,,20240104,직거래,-
강원특별자치도 동해시 천곡동,Feb-91,91,2,롯데,59.88,202312,8,"12,000",11,1996,감추7길 22-11,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1077-16,1077,16,리더스빌,123.48,202312,12,"13,250",3,1995,샘실3길 82-4,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1077-16,1077,16,리더스빌,140.4,202312,13,"16,400",2,1995,샘실3길 82-4,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1077,1077,0,삼성,73.83,202312,20,"14,000",13,1991,대학로 31,, ,직거래,-
강원특별자치도 동해시 천곡동,1060-2,1060,2,센트로빌,84.9685,202312,22,"16,500",14,2003,한섬로 73,,20231227,중개거래,동해시
강원특별자치도 동해시 천곡동,1060-2,1060,2,센트로빌,79.7485,202312,27,"16,800",8,2003,한섬로 73,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1004-5,1004,5,시영2차,49.89,202312,1,"6,650",2,1991,동굴로 34,,20231215,중개거래,동해시
강원특별자치도 동해시 천곡동,1111,1111,0,천곡금호어울림라포레,64.7915,202312,21,"25,400",21,2020,항골길 65,,20240104,중개거래,동해시
강원특별자치도 동해시 천곡동,1060-1,1060,1,천곡주공2차,59.3,202312,12,"10,450",4,1984,한섬로 87,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,306,306,0,천곡주공3차,59.3,202312,29,"11,900",3,1985,동굴로 61-19,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,39.6,202312,8,"7,000",1,1989,샘실1길 5,,20231227,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,39.3,202312,26,"7,300",5,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,791,791,0,한양1차,68.32,202312,5,"11,500",9,1990,천곡로 7,,20231220,중개거래,동해시
강원특별자치도 동해시 천곡동,794,794,0,한양2차,49.81,202312,12,"7,300",11,1991,천곡로 15,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,794,794,0,한양2차,84.855,202312,13,"16,300",7,1991,천곡로 15,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,794,794,0,한양2차,49.81,202312,17,"7,250",13,1991,천곡로 15,,20231220,중개거래,동해시
강원특별자치도 동해시 천곡동,794,794,0,한양2차,49.81,202312,23,"7,300",7,1991,천곡로 15,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,794,794,0,한양3차,72.71,202312,28,"10,500",9,1992,천곡로 15,, ,중개거래,강릉시
강원특별자치도 동해시 천곡동,1103,1103,0,한양수자인,71.757,202312,13,"22,000",14,2016,평릉1길 37-1,, ,직거래,-
강원특별자치도 동해시 평릉동,449,449,0,동해하나리움,59.9844,202312,2,"17,700",12,2010,평원로 115,, ,중개거래,동해시
강원특별자치도 동해시 평릉동,449,449,0,동해하나리움,59.9514,202312,10,"20,700",15,2010,평원로 115,, ,중개거래,동해시
강원특별자치도 동해시 평릉동,450,450,0,엘리시아,84.9162,202312,20,"25,700",6,2010,평원로 107,,20240104,중개거래,동해시
강원특별자치도 동해시 평릉동,293,293,0,푸르지오,84.901,202312,8,"26,700",13,2006,평릉1길 39,,20240102,중개거래,동해시
강원특별자치도 동해시 효가동,481,481,0,동아더프라임2단지,84.9027,202312,21,"22,000",14,2013,양지길 20-1,,20240103,중개거래,동해시
강원특별자치도 동해시 효가동,256,256,0,명보1차,46.25,202312,21,"2,000",5,1988,분토길 22,,20231222,중개거래,강릉시
강원특별자치도 동해시 효가동,248,248,0,명보2차,59.64,202312,28,"5,800",4,1994,효가로 10-2,, ,중개거래,동해시
강원특별자치도 삼척시 갈천동,227,227,0,트루엘시그니처,74.97,202312,11,"32,100",20,2021,동해대로 4360,, ,중개거래,삼척시
강원특별자치도 삼척시 갈천동,227,227,0,트루엘시그니처,74.97,202312,11,"31,300",19,2021,동해대로 4360,, ,중개거래,삼척시
강원특별자치도 삼척시 갈천동,227,227,0,트루엘시그니처,84.6073,202312,18,"33,500",15,2021,동해대로 4360,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,793,793,0,e편한세상삼척교동,59.8769,202312,18,"18,900",24,2018,하실길 72,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,130-2,130,2,강부2,49.815,202312,4,"6,400",5,1993,동해대로 4122-27,,20231218,중개거래,삼척시
강원특별자치도 삼척시 교동,788,788,0,교동지웰,84.869,202312,26,"28,000",5,2018,동해대로 4183,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,757,757,0,교동청솔2차,59.85,202312,9,"8,500",12,2003,정상로 81,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,757,757,0,교동청솔2차,59.85,202312,21,"9,000",8,2003,정상로 81,,20231229,중개거래,동해시
강원특별자치도 삼척시 교동,733-1,733,1,교동코아루,84.929,202312,1,"20,100",4,2005,교동로 133,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,733-1,733,1,교동코아루,60,202312,13,"9,450",10,2005,교동로 133,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,733-1,733,1,교동코아루,60,202312,19,"9,450",2,2005,교동로 133,,20231228,중개거래,삼척시
강원특별자치도 삼척시 교동,733-1,733,1,교동코아루,84.929,202312,23,"23,000",6,2005,교동로 133,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,501-5,501,5,동부,59.83,202312,2,"9,400",6,1996,동해대로 4273,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,745-1,745,1,신동아,59.895,202312,16,"11,900",6,1998,정상로 90,, ,중개거래,삼척시
강원특별자치도 삼척시 교동,745-1,745,1,신동아,59.895,202312,21,"12,600",14,1998,정상로 90,, ,중개거래,삼척시
